"Country","Total.Cases","Total.Deaths","Total.Recovered","Active.Casses"
"Afghanistan",933,30,112,791
"Albania",548,26,302,220
"Algeria",2534,367,894,1273
"Andorra",704,35,205,464
"Angola",24,2,6,16
"Antigua and Barbuda",23,3,3,17
"Argentina",2758,129,685,1944
"Armenia",1248,20,523,705
"Australia",6547,67,4124,2356
"Austria",14671,443,10214,4014
"Azerbaijan",1373,18,590,765
"Bahamas",55,9,10,36
"Bahrain",1773,7,755,1011
"Bangladesh",2144,84,66,1994
"Barbados",75,5,17,53
"Belarus",4779,45,342,4392
"Belgium",37183,5453,8348,23382
"Belize",18,2,0,16
"Benin",35,1,18,16
"Bhutan",5,0,2,3
"Bolivia",493,31,31,431
"Bosnia and Herzegovina",1268,47,338,883
"Botswana",15,1,0,14
"Brazil",36658,2354,14026,20278
"Brunei",137,1,113,23
"Bulgaria",878,41,153,684
"Burkina Faso",565,36,321,208
"Burma",98,5,5,88
"Burundi",5,1,0,4
"Cabo Verde",58,1,1,56
"Cambodia",122,0,103,19
"Cameroon",1017,22,177,818
"Canada",34355,1399,10964,21992
"Central African Republic",12,0,4,8
"Chad",33,0,8,25
"Chile",9730,126,4035,5569
"China",83787,4636,77614,1537
"Colombia",3439,153,634,2652
"Congo (Brazzaville)",143,6,11,126
"Congo (Kinshasa)",307,25,26,256
"Costa Rica",655,4,97,554
"Cote d'Ivoire",801,8,239,554
"Croatia",1832,39,615,1178
"Cuba",986,32,227,727
"Cyprus",761,12,79,670
"Czechia",6606,181,1227,5198
"Denmark",7437,346,4031,3060
"Diamond Princess",712,13,644,55
"Djibouti",732,2,76,654
"Dominica",16,0,8,8
"Dominican Republic",4335,217,312,3806
"Ecuador",9022,456,1008,7558
"Egypt",3032,224,701,2107
"El Salvador",190,7,43,140
"Equatorial Guinea",79,0,4,75
"Eritrea",39,0,3,36
"Estonia",1512,38,162,1312
"Eswatini",22,1,8,13
"Ethiopia",105,3,16,86
"Fiji",17,0,0,17
"Finland",3681,90,1700,1891
"France",149149,19345,36587,93217
"Gabon",108,1,7,100
"Gambia",9,1,2,6
"Georgia",388,4,86,298
"Germany",143342,4459,85400,53483
"Ghana",834,9,99,726
"Greece",2235,110,269,1856
"Grenada",14,0,6,8
"Guatemala",235,7,21,207
"Guinea",518,3,65,450
"Guinea-Bissau",46,0,0,46
"Guyana",63,6,9,48
"Haiti",44,3,0,41
"Holy See",8,0,2,6
